TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
Newzgrabber.CreateDirectoryDialog,BRANCH,0.0,6,1
Newzgrabber.CreateDirectoryDialog,BRANCH,0.16666666666666666,6,1
Newzgrabber.CreateDirectoryDialog,BRANCH,0.0,6,0
Newzgrabber.CreateDirectoryDialog,BRANCH,0.0,6,0
Newzgrabber.CreateDirectoryDialog,BRANCH,0.16666666666666666,6,1
Newzgrabber.CreateDirectoryDialog,BRANCH,0.16666666666666666,6,1
Newzgrabber.CreateDirectoryDialog,BRANCH,0.16666666666666666,6,1
Newzgrabber.CreateDirectoryDialog,BRANCH,0.16666666666666666,6,1
Newzgrabber.CreateDirectoryDialog,BRANCH,0.16666666666666666,6,1
Newzgrabber.CreateDirectoryDialog,BRANCH,0.0,6,1
Newzgrabber.DirectoryDialog,BRANCH,0.0425531914893617,47,2
Newzgrabber.DirectoryDialog,BRANCH,0.02127659574468085,47,1
Newzgrabber.DirectoryDialog,BRANCH,0.0,47,0
Newzgrabber.DirectoryDialog,BRANCH,0.02127659574468085,47,1
Newzgrabber.DirectoryDialog,BRANCH,0.02127659574468085,47,1
Newzgrabber.DirectoryDialog,BRANCH,0.0,47,0
Newzgrabber.DirectoryDialog,BRANCH,0.0,47,0
Newzgrabber.DirectoryDialog,BRANCH,0.0,47,0
Newzgrabber.DirectoryDialog,BRANCH,0.02127659574468085,47,1
Newzgrabber.DirectoryDialog,BRANCH,0.02127659574468085,47,1
Newzgrabber.NNTP,BRANCH,0.0,55,1
Newzgrabber.NNTP,BRANCH,0.01818181818181818,55,1
Newzgrabber.NNTP,BRANCH,0.01818181818181818,55,1
Newzgrabber.NNTP,BRANCH,0.01818181818181818,55,1
Newzgrabber.NNTP,BRANCH,0.01818181818181818,55,1
Newzgrabber.NNTP,BRANCH,0.01818181818181818,55,1
Newzgrabber.NNTP,BRANCH,0.01818181818181818,55,1
Newzgrabber.NNTP,BRANCH,0.01818181818181818,55,1
Newzgrabber.NNTP,BRANCH,0.01818181818181818,55,1
Newzgrabber.NNTP,BRANCH,0.01818181818181818,55,1
Newzgrabber.TransferPanel,BRANCH,0.0851063829787234,94,8
Newzgrabber.TransferPanel,BRANCH,0.0851063829787234,94,8
Newzgrabber.TransferPanel,BRANCH,0.0851063829787234,94,8
Newzgrabber.TransferPanel,BRANCH,0.0851063829787234,94,8
Newzgrabber.TransferPanel,BRANCH,0.0851063829787234,94,8
Newzgrabber.TransferPanel,BRANCH,0.0851063829787234,94,8
Newzgrabber.TransferPanel,BRANCH,0.0851063829787234,94,8
Newzgrabber.TransferPanel,BRANCH,0.0851063829787234,94,8
Newzgrabber.TransferPanel,BRANCH,0.0851063829787234,94,8
Newzgrabber.TransferPanel,BRANCH,0.0851063829787234,94,8
Newzgrabber.yEncDecoder,BRANCH,0.13513513513513514,74,10
Newzgrabber.yEncDecoder,BRANCH,0.5,74,37
Newzgrabber.yEncDecoder,BRANCH,0.2702702702702703,74,20
Newzgrabber.yEncDecoder,BRANCH,0.4189189189189189,74,31
Newzgrabber.yEncDecoder,BRANCH,0.25675675675675674,74,19
Newzgrabber.yEncDecoder,BRANCH,0.4864864864864865,74,36
Newzgrabber.yEncDecoder,BRANCH,0.47297297297297297,74,35
Newzgrabber.yEncDecoder,BRANCH,0.2702702702702703,74,20
Newzgrabber.yEncDecoder,BRANCH,0.32432432432432434,74,24
Newzgrabber.yEncDecoder,BRANCH,0.13513513513513514,74,10
Newzgrabber.Newzgrabber,BRANCH,0.3076923076923077,78,24
Newzgrabber.Newzgrabber,BRANCH,0.3076923076923077,78,24
Newzgrabber.Newzgrabber,BRANCH,0.3076923076923077,78,24
Newzgrabber.Newzgrabber,BRANCH,0.3076923076923077,78,24
Newzgrabber.Newzgrabber,BRANCH,0.3076923076923077,78,24
Newzgrabber.Newzgrabber,BRANCH,0.3076923076923077,78,24
Newzgrabber.Newzgrabber,BRANCH,0.3076923076923077,78,24
Newzgrabber.Newzgrabber,BRANCH,0.3076923076923077,78,24
Newzgrabber.Newzgrabber,BRANCH,0.3076923076923077,78,24
Newzgrabber.Newzgrabber,BRANCH,0.3076923076923077,78,24
Newzgrabber.Base64Decoder,BRANCH,0.05084745762711865,59,3
Newzgrabber.Base64Decoder,BRANCH,0.06779661016949153,59,4
Newzgrabber.Base64Decoder,BRANCH,0.6949152542372882,59,41
Newzgrabber.Base64Decoder,BRANCH,0.05084745762711865,59,3
Newzgrabber.Base64Decoder,BRANCH,0.06779661016949153,59,4
Newzgrabber.Base64Decoder,BRANCH,0.1864406779661017,59,11
Newzgrabber.Base64Decoder,BRANCH,0.6101694915254238,59,37
Newzgrabber.Base64Decoder,BRANCH,0.6271186440677966,59,37
Newzgrabber.Base64Decoder,BRANCH,0.06779661016949153,59,4
Newzgrabber.Base64Decoder,BRANCH,0.06779661016949153,59,4
jipa.Main,BRANCH,0.6940298507462687,134,93
jipa.Main,BRANCH,0.8507462686567164,134,114
jipa.Main,BRANCH,0.8134328358208955,134,109
jipa.Main,BRANCH,0.6194029850746269,134,83
jipa.Main,BRANCH,0.7388059701492538,134,99
jipa.Main,BRANCH,0.6567164179104478,134,88
jipa.Main,BRANCH,0.7313432835820896,134,94
jipa.Main,BRANCH,0.753731343283582,134,101
jipa.Main,BRANCH,0.6567164179104478,134,88
jipa.Main,BRANCH,0.6716417910447762,134,90
Newzgrabber.IniUtility,BRANCH,1.0,10,10
Newzgrabber.IniUtility,BRANCH,1.0,10,10
Newzgrabber.IniUtility,BRANCH,1.0,10,10
Newzgrabber.IniUtility,BRANCH,1.0,10,10
Newzgrabber.IniUtility,BRANCH,1.0,10,10
Newzgrabber.IniUtility,BRANCH,0.7,10,7
Newzgrabber.IniUtility,BRANCH,1.0,10,10
Newzgrabber.IniUtility,BRANCH,1.0,10,10
Newzgrabber.IniUtility,BRANCH,0.7,10,7
Newzgrabber.IniUtility,BRANCH,1.0,10,10
jipa.Variable,BRANCH,1.0,23,23
