TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
Newzgrabber.CreateDirectoryDialog,BRANCH,0.0,6,1
Newzgrabber.CreateDirectoryDialog,BRANCH,0.0,6,1
Newzgrabber.CreateDirectoryDialog,BRANCH,0.16666666666666666,6,1
Newzgrabber.CreateDirectoryDialog,BRANCH,0.16666666666666666,6,1
Newzgrabber.CreateDirectoryDialog,BRANCH,0.16666666666666666,6,1
Newzgrabber.CreateDirectoryDialog,BRANCH,0.16666666666666666,6,1
Newzgrabber.CreateDirectoryDialog,BRANCH,0.16666666666666666,6,1
Newzgrabber.CreateDirectoryDialog,BRANCH,0.16666666666666666,6,1
Newzgrabber.CreateDirectoryDialog,BRANCH,0.16666666666666666,6,1
Newzgrabber.CreateDirectoryDialog,BRANCH,0.16666666666666666,6,1
Newzgrabber.DirectoryDialog,BRANCH,0.02127659574468085,47,1
Newzgrabber.DirectoryDialog,BRANCH,0.0,47,0
Newzgrabber.DirectoryDialog,BRANCH,0.0,47,0
Newzgrabber.DirectoryDialog,BRANCH,0.0,47,2
Newzgrabber.DirectoryDialog,BRANCH,0.02127659574468085,47,1
Newzgrabber.DirectoryDialog,BRANCH,0.0,47,0
Newzgrabber.DirectoryDialog,BRANCH,0.0425531914893617,47,2
Newzgrabber.DirectoryDialog,BRANCH,0.0,47,0
Newzgrabber.DirectoryDialog,BRANCH,0.0,47,0
Newzgrabber.DirectoryDialog,BRANCH,0.0,47,0
Newzgrabber.NNTP,BRANCH,0.01818181818181818,55,1
Newzgrabber.NNTP,BRANCH,0.09090909090909091,55,5
Newzgrabber.NNTP,BRANCH,0.01818181818181818,55,1
Newzgrabber.NNTP,BRANCH,0.01818181818181818,55,1
Newzgrabber.NNTP,BRANCH,0.01818181818181818,55,1
Newzgrabber.NNTP,BRANCH,0.01818181818181818,55,1
Newzgrabber.NNTP,BRANCH,0.01818181818181818,55,1
Newzgrabber.NNTP,BRANCH,0.01818181818181818,55,1
Newzgrabber.NNTP,BRANCH,0.01818181818181818,55,1
